STATE,AGI_STUB,N1,MARS1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,MVITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01750,A01750,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18460,A18460,N18300,A18300,N18800,A18800,N19300,A19300,N19500,A19500,N19530,A19530,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
US,0,153455990,73826490,54813240,21423480,137492460,8770310,81009630,94110170,290644230,92262250,3376990,1597730,113240,1666020,437820,20758060,38073870,11628652019,152856600,11769733622,126405000,7890791770,46476220,127360352,28636680,318307981,26595720,240947866,18552320,35318595,26698080,357275310,25506340,924693300,34588450,1077822234,1814400,4560320,21854062,21679360,336749979,9043340,684220825,37546440,141081603,3456750,892492,968980,25341630,3939690,31482595,2446430,12366229,12297050,13267149,133782330,2244988569,133782320,2201030981,22666730,43957593,17599150,650067704,4489850,76191284,12785290,201495204,4178330,9331511,15395300,105303318,16329860,130005541,17437760,147034337,7218890,4929766,13742470,172519562,369570,2974613,978210,922869,965850,21461427,14859270,197208458,1002770,28286916,18678770,149143530,120842820,8934264399,120294580,1651792026,263720,3839050,2942580,4245716,57097410,133565150,9008910,25008554,6518720,3784027,8680290,8907346,9355700,1754497,39072640,81121925,726440,2396771,20061370,64910694,5474670,42572897,6142090,47080531,3797480,3172599,144496550,1880356432,26142740,64060520,22866240,55458085,20029470,35557916,7317250,6357768,2112970,1806749,103237980,1518229807,113132680,1631747709,4362840,9335006,5046180,30034802,32164420,180790860,116067510,424763402,112792990,329892319,4201800,94871100
US,1,2066170,1227940,657150,84440,1391520,357490,1304710,457940,3117770,511360,19810,11910,220,7690,200,51700,986710,-202133468,1466990,-200044050,519260,21744209,664820,5385202,418030,4681652,377730,3163040,56370,307174,714820,-11519265,590440,16213216,324710,5556208,162440,13100,69428,3480,19106,381150,-51854638,388250,2089418,8190,1990,3550,76937,104830,636885,11440,60749,80190,95837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,13436,0,0,43990,207529,4530,178350,35640,12405,9910,22626,620,490,0,0,1340,895,560,409,6120,5319,0,0,238160,642753,194450,2028197,207740,2012103,1170,899,860510,5944841,149070,185061,90220,120994,71550,147980,83400,77465,129610,151596,37100,184907,311630,970115,12420,23046,60,1893,181590,371169,778440,5347128,723150,3835085,70680,1512049
US,2,19090410,15824080,1522950,1468090,16428800,1411470,8582920,10068320,17577930,3569360,853350,413340,7940,432070,168540,1770030,3767050,98606254,19090200,100922617,13963430,82518673,2841190,1369442,1635320,2148103,1469060,1343803,129880,103383,3160220,10450463,1354240,1050617,2272690,11492638,98210,201200,610711,55240,231496,241720,-854051,2919060,2316363,25380,5589,4800,28098,181070,574135,34560,115068,301020,271234,18847680,206142994,18847680,201031348,2829510,5111642,240230,5311596,174270,2794149,62210,158978,125580,82808,156170,793822,192080,784902,221950,924985,62150,33917,122350,1221105,3430,27410,6600,4822,7300,20066,126930,173068,8600,84748,37230,22492,600880,1236367,488260,135660,1100,4256,128670,49210,95960,15854,57170,3439,520,193,10510,2989,4580,1152,18600,7049,520,196,2572610,1935848,593150,4972339,625570,5038805,9210,5392,15591330,13487807,5739260,5959593,4800020,5178158,1576980,1090459,642590,541806,342020,220609,450390,119831,3164140,2124117,670,789,70,381,1968660,993305,14519590,12352918,14438800,12157609,102430,195308
US,3,31010390,19227720,4212220,7026490,27927570,1706810,15416760,22341350,50198450,17473800,1060880,542610,22790,495470,173870,6594480,6276880,533537141,31010380,542112266,24515620,413159027,4305150,3272252,2322310,5243979,2095210,3274002,440140,318534,6158850,48560580,1934540,3990680,5004920,58780557,192490,979750,4011221,2329330,4479879,536130,1036511,6534590,8575125,159700,36655,17090,110919,384870,1266700,181490,599781,1269460,1122372,30354340,456725985,30354340,448383692,4519660,8342296,653920,14907163,457300,7220438,225630,405916,341280,296878,439740,2017638,548870,2254208,624030,2624166,198520,120607,337570,3067777,9830,72206,17760,16730,15120,46274,421640,1248607,33760,390361,1776290,1227572,19429260,107672619,19311580,10981470,3990,9071,640710,230914,7651760,2689631,257270,27468,381660,130979,1647860,794529,2284920,387595,3596250,1320430,31040,16788,5008660,8715842,1902140,14383575,1958540,14527993,950930,524797,28867060,87618637,11716710,39291637,10475650,34151567,8175830,14157240,1711760,1432601,879250,591746,13768450,8292939,17974500,17704409,2010,2468,220,734,3066410,3626187,26899400,73418808,26744110,72980384,213460,438429
US,4,36512260,19510880,8218070,7674320,33070510,1855600,18106000,26195310,66600020,22249820,934280,481810,36070,416410,93720,6923110,7446950,1326269176,36512260,1341851833,31654410,1098528811,6915660,5483201,3630450,10038564,3305420,6536153,1872430,1279100,4957930,40957991,3058970,9561207,6704740,124035727,303720,1272140,6129932,5387320,37875785,934530,6286294,7918500,15582657,606110,145316,45870,389052,582450,2571586,538030,2102018,3678130,3865171,34745490,559753695,34745490,550767402,4687860,8986291,1764880,40873964,971290,14360670,953530,2036757,677230,922899,1272870,5570111,1534390,7450469,1720370,8579926,659880,483298,1068840,9426288,34720,254772,57620,86226,32290,103218,1323050,5815050,108550,1448950,3502840,5890005,36143390,716312956,35889070,78481724,3440,20135,1276810,1005192,16563200,19505790,852400,174632,1485390,921653,2637180,2675629,5573240,1114530,11308480,14311380,161110,194727,3374630,8565071,2111290,15215560,2210340,16274702,1698450,1109094,35395330,142605696,8325650,18537043,7344180,15943227,7920340,15974593,1692530,1409834,608620,596918,26954710,58976092,28901710,69016890,4600,7051,1610,897,5559520,8649472,30699940,81772692,30410650,80821286,400300,951406
US,5,21349080,9316280,8503620,2851060,19248140,1109600,11447070,13843330,42945160,13162330,313100,107690,19880,185530,1500,2781810,5820490,1312496690,21349080,1327078165,18259490,1021377233,6844950,6272267,3763430,13456109,3466460,9066454,2948960,2358906,3175910,31397956,3202820,14363963,5643470,151871162,271710,760020,3847319,4339050,67168436,930120,10194312,5908090,14581475,641380,159410,56950,599876,470870,2771179,493650,2255394,2916290,3311900,18900580,342369705,18900580,335635910,3510650,6733799,2447710,57897930,940860,14488068,1678760,5381013,659450,1105786,2046360,9016734,2222760,13707880,2419960,14983677,992840,638737,1809290,15970660,51760,370682,100730,135303,43840,144918,1929590,9198895,127680,1795104,2761980,7310873,21286500,901928980,21230460,110959101,3590,19354,507620,1117519,9164730,19747839,1098460,328798,961710,552804,1503520,1758987,1492400,250811,6963990,16248389,154750,333573,2204180,6415725,530700,4732228,717820,5962541,634900,595850,20908430,132082527,212060,87186,156190,64139,1862080,3418931,976870,861544,126740,191867,19241760,91211437,19803900,98759145,4100,6064,1540,825,4947870,10953945,16321680,43759672,15979060,42505362,458220,1254309
US,6,13827630,4050610,8305430,1159790,12493710,708200,7780420,8486490,31698410,9595010,113800,25030,11980,76790,0,1331020,4333570,1198550688,13827630,1210545130,11787450,895670900,5977350,6365627,3464310,14957208,3209150,10378121,3046450,2929209,2324590,27390863,2970980,18120170,4469530,156189331,227270,504310,2539607,3262910,66712933,883320,12779110,3877670,11994442,556580,146852,62600,756960,379740,2642574,341270,1827344,1566740,1775197,11471160,238052907,11471160,232903534,2552270,5149372,2356080,59947035,683710,11201489,1774960,8019867,508470,986232,2086060,9963458,2179920,16229619,2340910,17419583,993600,596214,1876250,18012877,49520,344727,115580,132613,51100,188511,1937160,10283410,115110,1723305,2291070,7631866,13804330,890638724,13774840,116848886,6800,27456,193630,737589,6295620,17024851,1085460,399714,882220,525406,1055040,1308951,0,0,5070730,14082084,111420,350033,1656570,5408307,123820,1067411,240740,1907357,251360,322523,13617170,127960844,0,0,0,0,340450,580323,738400,653813,23860,46391,13382080,99824179,13511770,106229080,6010,6486,1530,712,3717810,10575474,10068140,31888238,9735270,30449572,439650,1438667
US,7,21091740,3652310,16206410,941310,19130780,1131600,12307380,10400590,54685870,17428180,76670,14450,13290,48930,0,1182830,6681220,2871181661,21091740,2901744304,18308250,2112285001,12047090,17366927,7816730,49083213,7323550,35780917,7143910,8856969,4109520,73001143,6925550,74320593,7384880,359698479,378700,668510,3615188,4679930,114082432,2310800,59755421,7021850,30562643,1191310,326838,252790,4131660,840750,7397541,675130,3797283,2485220,2825438,15475850,349508901,15475850,342056290,3543900,7452614,5615470,169895756,1033400,18729589,4482640,33904559,1016820,2436083,5171930,30221350,5289810,47125725,5596970,50462619,2511590,1606396,4734840,57511419,121970,827531,344620,337237,197730,938731,4941130,34924604,274690,5079684,4808580,25663836,21074260,2322031621,21054010,356198135,39320,189524,133740,875029,11563420,33733503,2773210,1724860,1950680,1164125,1824840,2365366,0,0,9057750,26158221,186440,881188,3016550,13096471,19120,173587,152580,1125171,201570,406674,20848410,355780366,0,0,0,0,77650,177242,1471690,1380705,2870,7622,20923170,322465366,20968010,338173325,216200,61127,83540,37096,8291280,35724270,12740420,52609795,11926610,46560994,1064850,6048806
US,8,6865430,827540,5798140,177820,6285440,393550,4649940,2081500,19218080,6595840,5100,900,1080,3130,0,119500,2184790,1965543933,6865430,1994747041,6013110,1319135852,5339760,17794463,4233530,60885137,4040220,46896843,2299360,5477766,1640690,76733199,4078100,124019736,2317860,168909669,134420,146340,925519,1320570,36954871,1849200,145718556,2209800,29203108,251770,65767,333890,9384290,647120,7991490,131430,1211191,0,0,3494660,81073656,3494660,79188066,883750,1885591,3370590,131966308,214190,6281604,2691010,47138779,629340,1950759,3161940,28030321,3246640,31475132,3365280,34133958,1419540,1036660,2914850,48451522,71240,624776,249130,165972,294310,2362529,3088840,33619489,182000,5854708,2637850,33562798,6862330,1717887986,6860430,340476888,96650,739641,22620,189083,4649680,16443304,1988120,3841951,735840,416146,0,0,0,0,3040120,8974589,65130,446736,1447380,10936213,0,0,25180,200539,41780,160397,6784430,337495880,0,0,0,0,4590,11148,0,0,0,0,6842630,324033881,6855610,342781979,2974230,2293411,3489970,3868116,3604460,41677276,3232760,35780264,2506570,21819152,906160,13961114
US,9,1101480,123620,938270,26890,1017320,63150,916780,173890,3174830,1140900,0,0,0,0,0,3150,369960,741790366,1101480,754943821,942000,409808497,1013810,10344156,875990,33420797,846020,26092825,354490,2667085,303020,29374021,896990,86678745,317580,26722492,27480,12120,84479,197710,5971454,580820,127589336,485440,13153455,13420,3352,119770,5371279,207420,3189579,26590,267290,0,0,371500,8610181,371500,8386348,104770,223845,729940,44328715,12590,847375,577770,25666665,143550,504858,678400,9532271,709260,6974913,728820,8037191,256790,239139,594740,12396520,16460,240831,57910,29327,152670,2338195,686420,16930985,68040,3525587,524140,15038577,1100880,673877921,1100890,173109198,32360,494656,2440,22297,707130,5468052,544180,3621160,94470,55821,0,0,0,0,10610,14464,10980,100736,340430,4104438,0,0,2750,23972,5490,31183,1087850,172531296,0,0,0,0,0,0,0,0,0,0,1098140,167641288,1100460,178958661,772230,2426284,968070,4415007,597920,25061838,497310,18256503,236300,6322061,302300,11934442
